Document Name : Outbound Reference Report,,,,,,,,,,,,,,,,
Warehouse : WHS01,,,,,,,,,,,,,,,,
Outbound Reference Report as of 03 Jun 2025 01:58:19 PM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No,BU,Job No,Delivery Date,Delivery Note,Section Code,Delivery To,Remark,Package Count,Plan Qty,Plan PID,Allocated PID,Total Package,Picked PID,Packed PID,Loaded PID,Status
29,PL AUTO,OUT20250600157,03-Jun-2025 00:00:00,0082135199,,PT SANKO GOSEI TECHNOLOGY INDONESIA,SANKO KRW TGL 03/06/25 (KIRIM PAGI),2,1000,40,0,0,0,0,40,Loaded
30,PL AUTO 2,OUT20250600156,03-Jun-2025 00:00:00,0082134946,,PT SEKISO INDUSTRIES INDONESIA,SEKISO TGL  3-Jun-25,1,500,1,0,0,0,0,1,Loaded
31,PL AUTO,OUT20250600155,03-Jun-2025 18:46:00,TTI-0025/IDP1/06/2025,,PT SANKO GOSEI TECHNOLOGY INDONESIA,SANKO KRW TGL 06/06/25 (KIRIM PAGI),1,50,2,0,0,0,0,2,Loaded
32,PL AUTO,OUT20250600154,03-Jun-2025 00:00:00,0082135285,,PT SHINTO KOGYO INDONESIA,SHINTO - PLANT 1 TGL 03/06/25 (KIRIM PAGI),2,1500,60,0,0,0,0,60,Loaded
33,PL AUTO 2,OUT20250600153,03-Jun-2025 08:00:00,TTI-0062/IDP3/05/2025,,PT. TOYOTA TSUSHO LOGISTIC CENTER (TPIN),TPIN TRANSFER STOCK TGL 03/02/25,0,1700,81,0,0,0,0,0,NewJob
34,PL AUTO 2,OUT20250600152,03-Jun-2025 00:00:00,0082134890,,PT TG INOAC INDONESIA,TG INOAC TGL  3-Jun-25,3,3100,124,0,0,0,0,42,Loaded
35,PL AUTO,OUT20250600151,03-Jun-2025 18:26:00,TTI/IDP3/VI/6371/OTHER/25,,PT TOYOTA TSUSHO LOGISTIC CENTER,MIGRASI MATERIAL IDP1 KE IDP3 TGL  3-Jun-25,3,2275,91,0,0,0,0,91,Loaded
36,PL AUTO 2,OUT2025060014F,03-Jun-2025 18:08:00,73966,,PT TOYOTA AUTO BODY-TOKAI EXTRUSION,TTEC TGL 03/6/25,1,15,1,0,0,0,0,1,Loaded
37,PL AUTO,OUT2025060014D,03-Jun-2025 00:00:00,0082134920,,PT. SCHLEMMER AUTOMOTIVE INDONESIA,SCHLEMMER TGL  3-Jun-25,1,50,2,0,0,0,0,2,Loaded
38,PL AUTO 2,OUT2025060014C,03-Jun-2025 17:44:00,TTI-0007/IDP3/06/2025,,PT DENSO INDONESIA,DENSO FAJAR TGL  3-Jun-25,0,150,6,0,0,0,0,0,NewJob
39,PL AUTO,OUT20250600146,03-Jun-2025 23:50:00,1275706-1,,PT SUGITY CREATIVES,SUGITY SEQ 4 TGL 03/06/25 (FACT 1),0,1500,60,0,0,0,0,0,NewJob
40,PL AUTO 2,OUT20250600143,03-Jun-2025 17:24:00,TT03062025,,PT ICHIKOH INDONESIA,ICHIKOH TGL  3-Jun-25,1,7,7,0,0,0,0,7,Loaded
41,PL AUTO,OUT2025060013F,03-Jun-2025 00:00:00,0082135242,,PT YOGYA PRESISI TEHNIKATAMA INDUSTRI,YOGYA PRESISI TGL 03/06/25 (PICK UP),0,75,0,0,0,0,0,0,NewJob
42,PL AUTO,OUT2025060013C,03-Jun-2025 00:00:00,0082135240,,CV. ELHIKO JAYA ABADI,ELHIKO TGL 03/06/25 (PICK UP) ADD,1,50,2,0,0,0,0,2,Loaded
43,PL AUTO,OUT2025060013B,03-Jun-2025 00:00:00,0082132733,,PT OGATA INDONESIA,OGATA TGL  3-Jun-25 TGR,1,200,8,0,0,0,0,8,Loaded
44,PL AUTO,OUT20250600135,03-Jun-2025 00:00:00,0082135217,,PT PLASESS INDONESIA,PLASESS TGL  3-Jun-25,1,25,1,0,0,0,0,1,Loaded
45,PL AUTO,OUT20250600130,03-Jun-2025 00:00:00,0082135215,,PT PLASESS INDONESIA,PLASESS TGL  3-Jun-25,1,50,2,0,0,0,0,2,Loaded
46,PL AUTO,OUT2025060012F,03-Jun-2025 10:00:00,0082135214,,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI TBN TGL 03/06/25 (ETA 10.00),1,500,20,0,0,0,0,20,Loaded
47,PL AUTO,OUT2025060012E,03-Jun-2025 10:00:00,0082135213,,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI TBN TGL 03/06/25 (ETA 10.00),2,2000,80,0,0,0,0,80,Loaded
48,PL AUTO,OUT2025060012A,03-Jun-2025 10:00:00,0082135209,,PT. SUZUKI INDOMOBIL MOTOR,SUZUKI TBN TGL 03/06/25 (ETA 10.00),3,2500,100,0,0,0,0,100,Loaded
49,PL AUTO,OUT20250600122,03-Jun-2025 00:00:00,0082135191,,PT. NIDEC INSTRUMENTS BEKASI,NIDEC (PICK UP) TGL  3-Jun-25,0,2600,0,0,0,0,0,0,NewJob
50,PL AUTO,OUT20250600120,03-Jun-2025 00:00:00,0082135115,,PT. BONECOM TRICOM,BONECOM TGL 03/06/25 (TEMPEL KANBAN),6,4000,160,0,0,0,0,160,Loaded
51,PL AUTO 2,OUT20250600119,03-Jun-2025 00:00:00,0082135182,,PT SANWA ENGINEERING INDONESIA,SANWA ENGINEERING TGL  3-Jun-25,1,500,20,0,0,0,0,20,Loaded
52,PL AUTO 2,OUT20250600118,03-Jun-2025 00:00:00,0082135093,,PT NOK INDONESIA,NOK TGL  3-Jun-25,6,1157,59,0,0,0,0,59,Loaded
53,PL AUTO 2,OUT20250600116,03-Jun-2025 00:00:00,0082135000,,PT TORICA INDONESIA,TORICA TGL  3-Jun-25,0,3890,0,0,0,0,0,0,NewJob
54,PL AUTO 2,OUT20250600115,03-Jun-2025 15:35:00,73955,,PT TOYOTA AUTO BODY-TOKAI EXTRUSION,TTEC TGL 03/6/25,8,22336,196,0,0,0,0,205,Loaded
55,PL AUTO 2,OUT2025060010D,03-Jun-2025 15:31:00,73956,,PT TOYOTA AUTO BODY-TOKAI EXTRUSION,TTEC TGL 03/6/25,1,1000,40,0,0,0,0,40,Loaded
56,PL AUTO 2,OUT20250600108,03-Jun-2025 00:00:00,0082135155,,PT FUJI SEIKI INDONESIA,FUJI SEIKI (PICK UP) TGL  3-Jun-25,0,300,0,0,0,0,0,0,NewJob
57,PL AUTO,OUT202506000FE,03-Jun-2025 00:00:00,0082135123,,PT NIFCO INDONESIA,NIFCO TGL  3-Jun-25,3,2400,96,0,0,0,0,96,Loaded
58,PL AUTO 2,OUT202506000F8,03-Jun-2025 00:00:00,0082135120,,PT DENSO INDONESIA,DENSO FAJAR TGL  3-Jun-25,0,179,0,0,0,0,0,0,NewJob
59,PL AUTO,OUT202506000F7,03-Jun-2025 22:30:00,72706,,PT RESIN PLATING TECHNOLOGY,RPT SEQ 2 TGL 03/06/25,0,2000,80,0,0,0,0,0,NewJob
60,PL AUTO,OUT202506000EF,03-Jun-2025 08:30:00,72705,,PT RESIN PLATING TECHNOLOGY,RPT SEQ 1 TGL 03/06/25,11,4900,196,0,0,0,0,196,Loaded
61,PL AUTO 2,OUT202506000EC,03-Jun-2025 14:52:00,TTI-0006/IDP3/06/2025,,PT DENSO INDONESIA,DENSO MILKRUN SEQ 1 TGL  3-Jun-25,1,1000,40,0,0,0,0,40,Loaded
62,PL AUTO 2,OUT202506000E3,03-Jun-2025 00:00:00,0082135078,,PT DENSO INDONESIA,DENSO MILKRUN SEQ 2 TGL  3-Jun-25,1,1000,40,0,0,0,0,40,Loaded
